id,system,user,intent
514,It should be an average of 74 degrees with a 32 percent chance of rain.,I'd like to find a hotel there.,"Service name: Hotels_1
Active intent: SearchHotel
Requested slots: 
Slot values: {'destination': '[CLS]'}"
515,,I'm looking for a movie to watch.,"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {}"
516,For what time?,Let's do it at 1:30 in the afternoon,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': '1 : 30 in the afternoon'}"
517,Is there anything else I can help you with?,No thats all thank you.,"Service name: Flights_2
Active intent: 
Requested slots: 
Slot values: {}"
518,Total time of ride will be around 22 minutes.,Thanks. Search for some nice songs. I want to listen it now.,"Service name: Music_1
Active intent: LookupSong
Requested slots: 
Slot values: {}"
519,"I'm sorry, that time wasn't available. Shall I try to make an appointment at 3 pm on March 9th with Chen M Dwight MD?","Yes, that works for me.","Service name: Services_3
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_time': '3 pm'}"
520,Will I book this hotel?,Yes book this for me.,"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {}"
521,,Please help me find an Adventure movie and I want to watch it on Imax show.,"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'show_type': 'imax', 'genre': 'Adventure'}"
522,Your visit to the apartment has been scheduled.,"Thanks, that is all I need.","Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: 
Slot values: {}"
523,Of course. Do you have a hotel preference? When will you be checking in and how many days will you need?,I'd like to stay The Queens Park and I will be checking in on the 1st for 1 day.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_in_date': 'the 1st', 'hotel_name': 'The Queens Park', 'number_of_days': '1'}"
524,Would you like a reservation?,"Yes, for two people later today in the afternoon 1:45.","Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '2', 'date': 'later today', 'time': 'afternoon 1 : 45'}"
525,"Sure, what date would you like to schedule?",How about Thursday next week.,"Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: 
Slot values: {'visit_date': 'Thursday next week'}"
526,How about Hot Water Music at Underground Arts?,When will it start and where exactly is the venue?,"Service name: Events_2
Active intent: FindEvents
Requested slots: time, venue_address
Slot values: {}"
527,The event kicks off at 5 pm at 1844 Southwest Morrison Street.,I am interested in that event.,"Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {'date': '[CLS]'}"
528,Do you want to play now?,Yes.,"Service name: Music_1
Active intent: PlaySong
Requested slots: 
Slot values: {}"
529,Please confirm: doctor's appointment at 12:45 pm on March 12th with Blossom Ridge Medical Group: Zimmer J Kirk MD.,Yes.,"Service name: Services_3
Active intent: BookAppointment
Requested slots: 
Slot values: {}"
530,JFK International Airport.,Sounds good to me. How about round trip flights? I want to get back on the 5th of March.,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'airlines': 'American Airlines', 'outbound_departure_time': '[CLS]', 'return_date': '5th of March'}"
531,Your visit is scheduled,Are pets allowed there? And is it furnished?,"Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: furnished, pets_allowed
Slot values: {}"
532,"Yes, confirmed, pets are allowed. Contact number is 408-226-5822. Your schedule is confirmed.","Thanks, that's all done","Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: 
Slot values: {}"
533,There is 1 flight that meets your criteria. It is an American Airlines flight that leaves at 8:25 pm and returns at 10:55 am. A ticket will cost $91.,I would like to book that trip.,"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {'inbound_departure_time': '10 : 55 am'}"
534,started playing the movie,thanks for your help,"Service name: Media_1
Active intent: PlayMovie
Requested slots: 
Slot values: {}"
535,Any other help you want?,"No, thank you so much.","Service name: Calendar_1
Active intent: 
Requested slots: 
Slot values: {}"
536,"Sure! So, your check in date will be on March 9th and for how many days you wish to stay there?",I wish to stay for only one day and my check in date will be on 10th of March.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_in_date': '10th of March', 'number_of_days': 'one'}"
537,I have 1 song for you to listen to. Would you like Windows Down by Big Time Rush from the album Elevate?,That's good. Please play it on my bedroom speaker.,"Service name: Music_2
Active intent: PlayMedia
Requested slots: 
Slot values: {'playback_device': 'bedroom speaker', 'song_name': 'Windows Down'}"
538,"I found 10 houses. 1 Columbia Court, Baulkham Hills New South Wales 2153, Australia, with rating 4.1","Oh, it sounds good! I book this house","Service name: Hotels_2
Active intent: BookHouse
Requested slots: 
Slot values: {}"
539,There is another bus that has 1 transfer it leaves at 10:50 am and is priced at $76.,Tell me about some more buses.,"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {}"
540,What about Alta Eye Care? It is located in San Jose. This is a Ophthalmologist.,What is their rating though?,"Service name: Services_3
Active intent: FindProvider
Requested slots: average_rating
Slot values: {}"
541,,I am interested in somewhere that serves Portuguese food in San Jose.,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'city': 'San Jose', 'cuisine': 'Portuguese'}"
542,,I'm looking to listen to some music. Something from the album Badlands maybe?,"Service name: Music_1
Active intent: LookupSong
Requested slots: 
Slot values: {'album': 'Badlands'}"
543,Please tell me if I have the right information: You want to schedule a visit to Bermuda-Trinidad Apartments for the day after tomorrow.,Yes that is correct,"Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: 
Slot values: {}"
544,"Sorry, the appointment is not available. Anything else?","No, that is all.","Service name: Services_2
Active intent: 
Requested slots: 
Slot values: {}"
545,There is 1 flight which matches your request. Would you like having a flight of the Southwest Airlines which has 0 stops and leaves at 3:25 pm? The ticket of this flight costs $66.,Alright. Could you look for a bus I can take to go there?,"Service name: Flights_2
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'airlines': 'Southwest Airlines'}"
546,I found a flight costing $279 with United Airlines. Take off is at 0:25 am with 1 stop.,"Ok. Thanks, that is all I need.","Service name: Flights_2
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}"
547,How many are you that will participate in the vent?,"Just one ticket, please.","Service name: Events_1
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'number_of_seats': '1'}"
548,I found 10 songs you may like. How about Burn by Ellie Goulding in the album Halcyon?,What genre is it?,"Service name: Music_2
Active intent: LookupMusic
Requested slots: genre
Slot values: {}"
549,I see that is is an overnight flight.,"Okay thank you anyways, that is all I need.","Service name: Flights_2
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {}"
550,It starts at 5:30 pm. The venue is at 1 Lincoln Financial Field Way.,"Okay, that sounds great.","Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {'date': '[CLS]'}"
551,The flight leaves from Seattle-Tacoma International Airport and will arrive at 6:17 am.,Thanks for helping me. Are there some attractions there that you can show me?,"Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {}"
552,For how many days?,I will be there four days.,"Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_days': 'four'}"
553,The destination airport is YVR International Airport.,Thank you for the help. Is there a bus that goes there? I wanna leave on the 3rd of this month.,"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'travelers': '1', 'from_location': '[CLS]', 'leaving_date': '3rd of this month', 'to_location': '[CLS]'}"
554,How about Peter Pan by Kelsea Ballerini in The First Time?,What sort of music is it? Is it from seven years back?,"Service name: Music_1
Active intent: LookupSong
Requested slots: genre, year
Slot values: {}"
555,"There 9 more houses available. One is 1, Jalan Pantai Baharu, Jaya Tower 3, 59200 Kuala Lumpur, Wilayah Persekutuan. That one is rated 4.2.",This house looks great.,"Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {}"
556,It begins at 6 pm.,"Okay, that sounds good.","Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {'date': '[CLS]'}"
557,,Help me look for a movie to watch.,"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {}"
558,Is there anything else I can help you with today?,"Yes, can you help me find a pet-friendly hotel nearby?","Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'pets_welcome': 'True', 'location': '[CLS]'}"
559,Okay sure. So you'd like to collect a standard car from Seattle-Tacoma International Airport on March 6th at 5 pm. You will be returning the car on March 8th.,Yes that's correct.,"Service name: RentalCars_1
Active intent: ReserveCar
Requested slots: 
Slot values: {}"
560,Is there anything else.,No. That's all for today.,"Service name: RideSharing_1
Active intent: 
Requested slots: 
Slot values: {}"
561,1 showtime is there at 7:30 pm in Vogue Theatre.,To which genre does that movie belong? Give me the address of theatre.,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: genre, street_address
Slot values: {}"
562,Would Superficial Love by Ruth B on the Safe Haven album interest you.,Yes. That one's good.,"Service name: Music_1
Active intent: LookupSong
Requested slots: 
Slot values: {'song_name': 'Superficial Love'}"
563,Please confirm the reservation at Cassava in San Francisco for 6 people at 11 am for today.,"It's for 5 people, not 6.","Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '5'}"
564,The phone number is 510-483-3707. The apartment is not furnished.,What else did you find?,"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {}"
565,Which day would you like to visit the apartments?,I think I'd like to go on the 7th of March.,"Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {'event_date': '7th of March'}"
566,How about an interesting one called California African American Museum. I might be a more child friendly museum?,"well, maybe how about another try?","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {}"
567,What type of events are you interested in?,Low is a good choice.,"Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {'event_name': 'Low'}"
568,"Can you please confirm that you want to book 1 room at the La Quinta Inn By Wyndham Fresno Yosemite hotel in Fresno, and you will go there on March 7th, and will need the room till March 13th?","That's not right, because I will need the room from 6th of this month, and I want to have two rooms.","Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: 
Slot values: {'number_of_rooms': '2', 'check_in_date': '6th of this month'}"
569,The wind is going to be around 12 miles per hour,"That sounds delightful. Schedule a visit for the doctor on that day, please.","Service name: Services_3
Active intent: BookAppointment
Requested slots: 
Slot values: {'type': 'General Practitioner', 'appointment_date': '[CLS]', 'city': '[CLS]', 'doctor_name': '[CLS]'}"
570,The phone number is +1 916-455-6800. Unfortunately they do not allow pets.,That one will be perfect.,"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'hotel_name': '[CLS]'}"
571,"You currently have 3 scheduled events, one of them is Apartment viewing, starting at 5 pm.",Thanks! I'd like to see when I have time available.,"Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {'event_name': 'Apartment viewing', 'event_time': '5 pm'}"
572,There's one on march 1st at the PNE Amphitheatre for Styx.,"That sounds good, when am i free that day?","Service name: Calendar_1
Active intent: GetAvailableTime
Requested slots: 
Slot values: {'event_date': '[CLS]'}"
573,This flight will arrive at 7:42 pm and it is an overnight flight. Hope this information was useful.,Yes. I need your help to find a House there to stay for a while.,"Service name: Hotels_2
Active intent: SearchHouse
Requested slots: 
Slot values: {'where_to': '[CLS]'}"
574,They do serve alcohol and they are in the expensive price range. The reservation is complete.,Thanks a lot.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {}"
575,Which city should I look in?,Look around London on Monday next week,"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'city': 'London', 'date': 'Monday next week'}"
576,There are 3 flights available with American Airlines . It leaves at 3:25 pm. The flight back takes off at 10:05 am for $229.,Of course,"Service name: Flights_2
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'airlines': 'American Airlines'}"
577,Want to get some tickets?,Not now. I need nothing else from you at the moment.,"Service name: Events_2
Active intent: 
Requested slots: 
Slot values: {}"
578,One moment. Your departure station would be Union Station. Your destination station would be Downtown Station.,Check for more buses please.,"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {}"
579,"There are 10 very viable options available. At the top of this list is the Bicentennial Apartments located at 825 Russell Avenue. This property has 3 bed rooms and 2 baths for $3,700 per month.",Tell me the phone number for the property so I can speak to someone about renting there.,"Service name: Homes_1
Active intent: FindApartment
Requested slots: phone_number
Slot values: {}"
580,For what time? How many tickets would you like?,Two tickets for a quarter to 4 in the afternoon.,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'group_size': '2', 'departure_time': 'quarter to 4 in the afternoon'}"
581,It should arrive in 8 minutes.,Thanks a lot. That would be all.,"Service name: RideSharing_2
Active intent: GetRide
Requested slots: 
Slot values: {}"
582,In what town?,Please look in Moraga.,"Service name: Movies_1
Active intent: FindMovies
Requested slots: 
Slot values: {'location': 'Moraga'}"
583,Your reservation has been made!,"Thank you, do you know if they have live music and the price range of their food?","Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: has_live_music, price_range
Slot values: {}"
584,,Can you find a return flight for me this Sunday?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {'departure_date': 'this Sunday'}"
585,,"Get me a dentist, I have trouble with a molar.","Service name: Services_2
Active intent: FindProvider
Requested slots: 
Slot values: {}"
586,You want to see 1512 Barber Shop at 12:30 pm on March 10th?,Yes. Can I have a rating and address?,"Service name: Services_1
Active intent: BookAppointment
Requested slots: average_rating, street_address
Slot values: {}"
587,,I need to search for some round trip flights.,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {}"
588,,I have a plan on a short trip and I need to search for some nice Hotels to stay for a while. Can you help me to find the best one?,"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {}"
589,origin station is Union Station and the destination will be at Port Authority Station.,"That is okay, please proceed with ticket booking process for the event that I selected.","Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}"
590,How about a Standard Chevrolet Cruze? This car is available for collection on March 5th from Heathrow International Airport.,That's great. I'd like to reserve this car please.,"Service name: RentalCars_2
Active intent: ReserveCar
Requested slots: 
Slot values: {'pickup_location': 'Heathrow International Airport'}"
591,The flight will arrive at PHL International Airport.,Which airport will the flight depart from?,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: origin_airport
Slot values: {}"
592,Unfortunately I can't find anything else that matches your criteria. Would you like help with anything else?,I'd like you to continue searching for music.Can you find anything by The Chainsmokers from the album Sick Boy.,"Service name: Music_1
Active intent: LookupSong
Requested slots: 
Slot values: {'album': 'Sick Boy', 'artist': 'The Chainsmokers'}"
593,The cab is booked. The drive is 22 minutes.,What is the cost?,"Service name: RideSharing_1
Active intent: GetRide
Requested slots: ride_fare
Slot values: {}"
594,The arrival station is Port Authority Station.,Great. Please book the flight for me.,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'fare_type': 'Economy', 'departure_time': '[CLS]'}"
595,The address of the venue is at 1250 1st Avenue South. Is this area comfortable to you?,not interested. Search for some other dates.,"Service name: Events_2
Active intent: GetEventDates
Requested slots: 
Slot values: {}"
596,Please confirm to buy 2 Economy tickets in a bus from Long Beach to Las Vegas on tomorrow at 7:10 am.,That is confirmed. Please make it.,"Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}"
597,Where are you going?,I want to travel to San Diego on American Airlines.,"Service name: Flights_1
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'airlines': 'American Airlines', 'destination_city': 'San Diego'}"
598,I found 1 songs. what about Mana Zina by Mo Temsamani in the album pobrecita,Whats it genre?,"Service name: Music_1
Active intent: LookupSong
Requested slots: genre
Slot values: {}"
599,What else can I assist you with today?,Thanks for your help but I don't think I'll be needing anything else today.,"Service name: Movies_1
Active intent: 
Requested slots: 
Slot values: {}"
600,Shattuck Avenue. $6 per person.,Terrific. Will you reserve a table for two at 5 pm?,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'show_time': '[CLS]'}"
601,,Can you help me find a way to get to Washington by bus. I want to leave on 13th of March.,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'departure_date': '13th of March', 'destination': 'Washington'}"
602,And where from?,Leaving from NYC.,"Service name: Buses_2
Active intent: FindBus
Requested slots: 
Slot values: {'origin': 'NYC'}"
603,It starts at 5:30 pm.,That sounds good to me.,"Service name: Events_2
Active intent: FindEvents
Requested slots: 
Slot values: {'event_name': '[CLS]'}"
604,Your car is reserved.,Thanks. That is all.,"Service name: RentalCars_1
Active intent: ReserveCar
Requested slots: 
Slot values: {}"
605,In which area?,Something in Santa Clara.,"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'area': 'Santa Clara'}"
606,Need anything else?,"No, that's all. Thanks.","Service name: Events_2
Active intent: 
Requested slots: 
Slot values: {}"
607,What event are you wanting to see? Did you want to look at things on March 10th?,"Not that day, look at the 12th of March. Look and see when Psychedelic Furs are on.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'date': '12th of March', 'event_name': 'Psychedelic Furs'}"
608,Just to confirm playing Aftertaste on kitchen speaker.,That is perfect.,"Service name: Music_2
Active intent: PlayMedia
Requested slots: 
Slot values: {}"
609,Is there anything else I can do for you?,"Please look for bus tickets for 3 people going there, leaving Sunday this week.","Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {'travelers': '3', 'from_location': '[CLS]', 'leaving_date': 'Sunday this week', 'to_location': '[CLS]'}"
610,What day are you looking at?,On the 13th of March.,"Service name: Services_2
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_date': '13th of March'}"
611,"Ok. How do these 4 sound? Mikey and Nicky, Ramen Shop, or Say Anything.",Lets go with Say Anything.,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'movie_name': 'Say Anything'}"
612,,I need to find a salon soon. What options are there?,"Service name: Services_1
Active intent: FindProvider
Requested slots: 
Slot values: {}"
613,There is a bus at 8:30 am with a Flexible ticket and the price is $91.,Which bus station will I depart from?,"Service name: Buses_2
Active intent: FindBus
Requested slots: origin_station_name
Slot values: {}"
614,"You have $20,262.81 in your savings account.",Ok.,"Service name: Banks_1
Active intent: CheckBalance
Requested slots: 
Slot values: {}"
615,Where do you want to pick it up?,From Walnut Creek.,"Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'pickup_city': 'Walnut Creek'}"
616,"I've booked the house, there is laundry service.",Thanks a lot.,"Service name: Hotels_2
Active intent: BookHouse
Requested slots: 
Slot values: {}"
617,I have successfully made the reservation.,Can you check their contact number and whether they have live music?,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: has_live_music, phone_number
Slot values: {}"
618,"This reservation is complete, and it's very inexpensive. Their address is 777 story road","Awesome, thanks so much.","Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {}"
619,At what time do you want to eat?,We will go at five pm.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': 'five pm'}"
620,where are you traveling to,I am traveling to lax,"Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'to_location': 'lax'}"
621,Would you like me to purchase the tickets for you?,No not right now. That is everything for now thanks.,"Service name: Movies_1
Active intent: 
Requested slots: 
Slot values: {}"
622,Confirming a reservation for 1 at Beck's Motor Lodge on March 3rd in San Francisco for a 4 day stay.,"Yes, that's good.","Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {}"
623,"Sure, where at?","Anywhere in Paris, France would be great.","Service name: Travel_1
Active intent: FindAttractions
Requested slots: 
Slot values: {'location': 'Paris , France'}"
624,"Please confirm the following: You want an appointment with Dr. Chika Akera, MD. for March 12th at 11:30 am.","Yes, that is correct. Can you give me their rating?","Service name: Services_3
Active intent: BookAppointment
Requested slots: average_rating
Slot values: {}"
625,Do you plan on checking in on March 13th?,"Yes, that is correct.","Service name: Hotels_1
Active intent: ReserveHotel
Requested slots: 
Slot values: {'check_in_date': 'March 13th'}"
626,"Yes, they are unisex and the phone number is 925-254-7474.","Sounds good, thank you. I'd like to make an appointment there at 4:30 pm on the 11th.","Service name: Services_1
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_date': 'the 11th', 'appointment_time': '4 : 30 pm', 'stylist_name': '[CLS]'}"
627,I've booked the tickets.,"I forgot to ask, what station will I be departing from and what station will I be arriving at?","Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: from_station, to_station
Slot values: {}"
628,Your dentist appointment was booked successfully. The phone number is 408-316-8226.,Could you tell me the location?,"Service name: Services_2
Active intent: BookAppointment
Requested slots: address
Slot values: {}"
629,Just to confirm you want to watch Hackers without subtitles.,Yes. Who directed the movie?,"Service name: Media_1
Active intent: PlayMovie
Requested slots: directed_by
Slot values: {'subtitles': 'False'}"
630,There is a standard Altima available at YVR International Airport on March 10th.,"My plans have changed, is there anything else? I will need it now until 12th of March from 10:00.","Service name: RentalCars_1
Active intent: GetCarsAvailable
Requested slots: 
Slot values: {'dropoff_date': '12th of March', 'pickup_time': '10 : 00'}"
631,Would you like to pre-purchase your ticket?,"No, I need to find transportation for 4 people to get there.","Service name: RideSharing_1
Active intent: GetRide
Requested slots: 
Slot values: {'number_of_riders': '4', 'destination': '[CLS]'}"
632,It is 1047 lincoln highway suite 101. Your appointment is confired,find me a not very costly restaurnat with ramen food.,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'price_range': 'moderate', 'city': '[CLS]', 'cuisine': 'ramen'}"
633,What time would you like to make the appointment for?,I want it for 5:30 pm.,"Service name: Services_1
Active intent: BookAppointment
Requested slots: 
Slot values: {'appointment_time': '5 : 30 pm'}"
634,What time is it for?,Make it for the afternoon 12:45.,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'time': 'afternoon 12 : 45'}"
635,The ticket is not refundable and the onward flight arrival time is 10:07 pm.,Do you have another available flight?,"Service name: Flights_1
Active intent: SearchRoundtripFlights
Requested slots: 
Slot values: {}"
636,I found Argonaut Hotel. It has a 4.4 rating.,That's the one. That is all.,"Service name: Hotels_3
Active intent: SearchHotel
Requested slots: 
Slot values: {'hotel_name': 'Argonaut Hotel'}"
637,Confirm John Wayne on TV.,Is that from two years ago?,"Service name: Music_1
Active intent: PlaySong
Requested slots: artist, year
Slot values: {}"
638,Your visit to the apartment is scheduled.,Thanks a lot.,"Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: 
Slot values: {}"
639,I found 1 horror movie called the curse of la llorona,the curse of la llorona sound good. what time do they have it available,"Service name: Movies_1
Active intent: GetTimesForMovie
Requested slots: 
Slot values: {'movie_name': 'the curse of la llorona'}"
640,Please confirm the following details:Play the song Easy World on Bedroom speaker.,"Yes, you are right.","Service name: Music_1
Active intent: PlaySong
Requested slots: 
Slot values: {}"
641,This event will start at 5 pm and the venue is located at 5500 Campanile Drive.,That is Okay and thanks.,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {}"
642,It's a Pop song from 2018.,"Okay. Yeah, that's the song.","Service name: Music_1
Active intent: LookupSong
Requested slots: 
Slot values: {'song_name': '[CLS]'}"
643,The bus departs at 10:20 am and it costs $32. The bus has 0 transfers.,What's the bus station I am leaving from? Which bus station am I reaching?,"Service name: Buses_1
Active intent: FindBus
Requested slots: from_station, to_station
Slot values: {}"
644,Please confirm: You are buying 1 economy ticket on the bus from Portland to Seattle on March 14th. The bus will leave at 8:40 am.,"Yes, that's right.","Service name: Buses_2
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}"
645,,I am looking for some bus tickets for my trip.,"Service name: Buses_1
Active intent: FindBus
Requested slots: 
Slot values: {}"
646,I have made the reservations.,Can I get a number to contact them and the address?,"Service name: Hotels_3
Active intent: ReserveHotel
Requested slots: phone_number, street_address
Slot values: {}"
647,Okay sure. What kind of food do you want to eat?,I'm in the mood for Curry.,"Service name: Restaurants_1
Active intent: FindRestaurants
Requested slots: 
Slot values: {'cuisine': 'Curry'}"
648,,I would like to find an apartment. It should have 3 bedrooms and 3 baths.,"Service name: Homes_1
Active intent: FindApartment
Requested slots: 
Slot values: {'number_of_baths': '3', 'number_of_beds': '3'}"
649,When would you like to go?,On the 13th please.,"Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: 
Slot values: {'visit_date': 'the 13th'}"
650,The ticket is confirmed. It will cost you $13.,Thanks a lot for help. I want to get back to booking of tickets.,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'number_of_tickets': '4', 'city': '[CLS]', 'date': '[CLS]', 'event_name': '[CLS]'}"
651,Is there anything else I can help with?,No thank you.,"Service name: Events_2
Active intent: 
Requested slots: 
Slot values: {}"
652,Where would you like to fly to?,I am traveling to New Delhi.,"Service name: Flights_2
Active intent: SearchOnewayFlight
Requested slots: 
Slot values: {'destination': 'New Delhi'}"
653,The departing station is Santa Fe Depot and arriving at Union Station.,"That sounds good, I'd like to reserve the bus for four people.","Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {'travelers': '4', 'leaving_time': '[CLS]'}"
654,I've found 10 hotels matching your search. How about the best Western Of Long beach? It's a nice 1 star hotel.,"Okay, that sounds good to me.","Service name: Hotels_1
Active intent: SearchHotel
Requested slots: 
Slot values: {'hotel_name': 'best Western Of Long beach'}"
655,The Beach Boys concert will also take place at the PNE Amphitheatre on March 9th.,"Great, that will work for me. Let me buy some tickets.","Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'date': 'March 9th'}"
656,Shall I book you a ticket?,"Yes please, I'd like that.","Service name: Buses_1
Active intent: BuyBusTicket
Requested slots: 
Slot values: {}"
657,"Sure, you can reach them at +1 206-448-4721.",Perfect. Now let's get 3 tickets to the event.,"Service name: Hotels_1
Active intent: SearchHotel
Requested slots: 
Slot values: {'hotel_name': '[CLS]'}"
658,"You might also consider visiting Grace Cathedral, which is a Place of Worship.",Is the entrance to this attraction free of charge?,"Service name: Travel_1
Active intent: FindAttractions
Requested slots: free_entry
Slot values: {}"
659,"Please confirm the following details: Booking a table at Shree indian Cuisine at petaluma on 11:15 am today, The reservation for 2 people",yes,"Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: 
Slot values: {'party_size': '2', 'date': 'today'}"
660,How many would you like?,I want 2.,"Service name: Events_2
Active intent: BuyEventTickets
Requested slots: 
Slot values: {'number_of_tickets': '2'}"
661,"Sure, there are 6 cars you might like, one of which is a Standard Honda Civic which is available for pickup at JFK International Airport on March 4th.",That sounds great! Could you help me make a reservation too?,"Service name: RentalCars_2
Active intent: ReserveCar
Requested slots: 
Slot values: {'car_type': 'Standard', 'pickup_location': 'JFK International Airport'}"
662,Do you need anything else?,"No, It's all, thanks","Service name: Services_2
Active intent: 
Requested slots: 
Slot values: {}"
663,The apartment does not come furnished and you can reach the property at 925-820-8385.,Sounds perfect. Let's schedule a visit to the property on March 8th.,"Service name: Homes_1
Active intent: ScheduleVisit
Requested slots: 
Slot values: {'property_name': '[CLS]', 'visit_date': 'March 8th'}"
664,"The reservation is complete. I'm sorry, but the ticket cannot be refunded and the flight has 1 stop.","No problem, thank you. I would also like to find a hip hop event to attend.","Service name: Flights_1
Active intent: ReserveRoundtripFlights
Requested slots: 
Slot values: {}"
665,What time?,Evening 5:15.,"Service name: Calendar_1
Active intent: AddEvent
Requested slots: 
Slot values: {'event_time': 'Evening 5 : 15'}"
666,"Sure, Please can you confirm me that you wish to book a table at Mcdonald's in Livermore on March 2nd for 2 people at 2 pm, right?","Yup, that would work for me. Do they have live music?","Service name: Restaurants_1
Active intent: ReserveRestaurant
Requested slots: has_live_music
Slot values: {'party_size': '2'}"
